"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1912 Stockholm","Charles Reidpath United States","Hanns Braun Germany","Edward Lindberg United States","400 metres","men","1912","Stockholm","Running","Charles Reidpath ","Hanns Braun ","Edward Lindberg ","United States","Germany","United States"
"1920 Antwerp","Bevil Rudd South Africa","Guy Butler Great Britain","Nils Engdahl Sweden","400 metres","men","1920","Antwerp","Running","Bevil Rudd ","Guy Butler ","Nils Engdahl ","South Africa","Great Britain","Sweden"
"1924 Paris","Eric Liddell Great Britain","Horatio Fitch United States","Guy Butler Great Britain","400 metres","men","1924","Paris","Running","Eric Liddell ","Horatio Fitch ","Guy Butler ","Great Britain","United States","Great Britain"
"1928 Amsterdam","Ray Barbuti United States","James Ball Canada","Joachim Büchner Germany","400 metres","men","1928","Amsterdam","Running","Ray Barbuti ","James Ball ","Joachim Büchner ","United States","Canada","Germany"
"1932 Los Angeles","Bill Carr United States","Ben Eastman United States","Alex Wilson Canada","400 metres","men","1932","Los Angeles","Running","Bill Carr ","Ben Eastman ","Alex Wilson ","United States","United States","Canada"
"1936 Berlin","Archie Williams United States","Godfrey Brown Great Britain","James LuValle United States","400 metres","men","1936","Berlin","Running","Archie Williams ","Godfrey Brown ","James LuValle ","United States","Great Britain","United States"
"1948 London","Arthur Wint Jamaica","Herb McKenley Jamaica","Mal Whitfield United States","400 metres","men","1948","London","Running","Arthur Wint ","Herb McKenley ","Mal Whitfield ","Jamaica","Jamaica","United States"
"1952 Helsinki","George Rhoden Jamaica","Herb McKenley Jamaica","Ollie Matson United States","400 metres","men","1952","Helsinki","Running","George Rhoden ","Herb McKenley ","Ollie Matson ","Jamaica","Jamaica","United States"
"1956 Melbourne","Charles Jenkins United States","Karl-Friedrich Haas United Team of Germany","Voitto Hellstén Finland & Ardalion Ignatyev Soviet Union","400 metres","men","1956","Melbourne","Running","Charles Jenkins ","Karl-Friedrich Haas ","Voitto Hellstén  & Ardalion Ignatyev ","United States","United Team of Germany","Finland"
"1960 Rome","Otis Davis United States","Carl Kaufmann United Team of Germany","Malcolm Spence South Africa","400 metres","men","1960","Rome","Running","Otis Davis ","Carl Kaufmann ","Malcolm Spence ","United States","United Team of Germany","South Africa"
"1964 Tokyo","Mike Larrabee United States","Wendell Mottley Trinidad and Tobago","Andrzej Badenski Poland","400 metres","men","1964","Tokyo","Running","Mike Larrabee ","Wendell Mottley ","Andrzej Badenski ","United States","Trinidad and Tobago","Poland"
"1968 Mexico City","Lee Evans United States","Larry James United States","Ron Freeman United States","400 metres","men","1968","Mexico City","Running","Lee Evans ","Larry James ","Ron Freeman ","United States","United States","United States"
"1972 Munich","Vincent Matthews United States","Wayne Collett United States","Julius Sang Kenya","400 metres","men","1972","Munich","Running","Vincent Matthews ","Wayne Collett ","Julius Sang ","United States","United States","Kenya"
"1976 Montreal","Alberto Juantorena Cuba","Fred Newhouse United States","Herman Frazier United States","400 metres","men","1976","Montreal","Running","Alberto Juantorena ","Fred Newhouse ","Herman Frazier ","Cuba","United States","United States"
"1980 Moscow","Viktor Markin Soviet Union","Rick Mitchell Australia","Frank Schaffer East Germany","400 metres","men","1980","Moscow","Running","Viktor Markin ","Rick Mitchell ","Frank Schaffer ","Soviet Union","Australia","East Germany"
"1984 Los Angeles","Alonzo Babers United States","Gabriel Tiacoh Ivory Coast","Antonio McKay United States","400 metres","men","1984","Los Angeles","Running","Alonzo Babers ","Gabriel Tiacoh Ivory Coast","Antonio McKay ","United States",NA,"United States"
"1988 Seoul","Steve Lewis United States","Butch Reynolds United States","Danny Everett United States","400 metres","men","1988","Seoul","Running","Steve Lewis ","Butch Reynolds ","Danny Everett ","United States","United States","United States"
"1992 Barcelona","Quincy Watts United States","Steve Lewis United States","Samson Kitur Kenya","400 metres","men","1992","Barcelona","Running","Quincy Watts ","Steve Lewis ","Samson Kitur ","United States","United States","Kenya"
"1996 Atlanta","Michael Johnson United States","Roger Black Great Britain","Davis Kamoga Uganda","400 metres","men","1996","Atlanta","Running","Michael Johnson ","Roger Black ","Davis Kamoga ","United States","Great Britain","Uganda"
"2000 Sydney","Michael Johnson United States","Alvin Harrison United States","Greg Haughton Jamaica","400 metres","men","2000","Sydney","Running","Michael Johnson ","Alvin Harrison ","Greg Haughton ","United States","United States","Jamaica"
"2004 Athens","Jeremy Wariner United States","Otis Harris United States","Derrick Brew United States","400 metres","men","2004","Athens","Running","Jeremy Wariner ","Otis Harris ","Derrick Brew ","United States","United States","United States"
"2008 Beijing","LaShawn Merritt United States","Jeremy Wariner United States","David Neville United States","400 metres","men","2008","Beijing","Running","LaShawn Merritt ","Jeremy Wariner ","David Neville ","United States","United States","United States"
"2012 London","Kirani James Grenada","Luguelín Santos Dominican Republic","Lalonde Gordon Trinidad and Tobago","400 metres","men","2012","London","Running","Kirani James Grenada","Luguelín Santos ","Lalonde Gordon ",NA,"Dominican Republic","Trinidad and Tobago"
"2016 Rio","Wayde van Niekerk South Africa","Kirani James Grenada","LaShawn Merritt United States","400 metres","men","2016","Rio","Running","Wayde van Niekerk ","Kirani James Grenada","LaShawn Merritt ","South Africa",NA,"United States"
"1896 Athens","Edwin Flack Australia","Nándor Dáni Hungary","Dimitrios Golemis Greece","800 metres","men","1896","Athens","Running","Edwin Flack ","Nándor Dáni ","Dimitrios Golemis ","Australia","Hungary","Greece"
"1900 Paris","Alfred Tysoe Great Britain","John Cregan United States","David Hall United States","800 metres","men","1900","Paris","Running","Alfred Tysoe ","John Cregan ","David Hall ","Great Britain","United States","United States"
"1904 St. Louis","Jim Lightbody United States","Howard Valentine United States","Emil Breitkreutz United States","800 metres","men","1904","St. Louis","Running","Jim Lightbody ","Howard Valentine ","Emil Breitkreutz ","United States","United States","United States"
"1908 London","Mel Sheppard United States","Emilio Lunghi Italy","Hanns Braun Germany","800 metres","men","1908","London","Running","Mel Sheppard ","Emilio Lunghi ","Hanns Braun ","United States","Italy","Germany"
"1912 Stockholm","Ted Meredith United States","Mel Sheppard United States","Ira Davenport United States","800 metres","men","1912","Stockholm","Running","Ted Meredith ","Mel Sheppard ","Ira Davenport ","United States","United States","United States"
"1920 Antwerp","Albert Hill Great Britain","Earl Eby United States","Bevil Rudd South Africa","800 metres","men","1920","Antwerp","Running","Albert Hill ","Earl Eby ","Bevil Rudd ","Great Britain","United States","South Africa"
"1924 Paris","Douglas Lowe Great Britain","Paul Martin Switzerland","Schuyler Enck United States","800 metres","men","1924","Paris","Running","Douglas Lowe ","Paul Martin ","Schuyler Enck ","Great Britain","Switzerland","United States"
"1928 Amsterdam","Douglas Lowe Great Britain","Erik Byléhn Sweden","Hermann Engelhard Germany","800 metres","men","1928","Amsterdam","Running","Douglas Lowe ","Erik Byléhn ","Hermann Engelhard ","Great Britain","Sweden","Germany"
"1932 Los Angeles","Tommy Hampson Great Britain","Alex Wilson Canada","Phil Edwards Canada","800 metres","men","1932","Los Angeles","Running","Tommy Hampson ","Alex Wilson ","Phil Edwards ","Great Britain","Canada","Canada"
"1936 Berlin","John Woodruff United States","Mario Lanzi Italy","Phil Edwards Canada","800 metres","men","1936","Berlin","Running","John Woodruff ","Mario Lanzi ","Phil Edwards ","United States","Italy","Canada"
"1948 London","Mal Whitfield United States","Arthur Wint Jamaica","Marcel Hansenne France","800 metres","men","1948","London","Running","Mal Whitfield ","Arthur Wint ","Marcel Hansenne ","United States","Jamaica","France"
"1952 Helsinki","Mal Whitfield United States","Arthur Wint Jamaica","Heinz Ulzheimer Germany","800 metres","men","1952","Helsinki","Running","Mal Whitfield ","Arthur Wint ","Heinz Ulzheimer ","United States","Jamaica","Germany"
"1956 Melbourne","Tom Courtney United States","Derek Johnson Great Britain","Audun Boysen Norway","800 metres","men","1956","Melbourne","Running","Tom Courtney ","Derek Johnson ","Audun Boysen ","United States","Great Britain","Norway"
"1960 Rome","Peter Snell New Zealand","Roger Moens Belgium","George Kerr British West Indies","800 metres","men","1960","Rome","Running","Peter Snell ","Roger Moens ","George Kerr British West Indies","New Zealand","Belgium",NA
"1964 Tokyo","Peter Snell New Zealand","Bill Crothers Canada","Wilson Kiprugut Kenya","800 metres","men","1964","Tokyo","Running","Peter Snell ","Bill Crothers ","Wilson Kiprugut ","New Zealand","Canada","Kenya"
"1968 Mexico City","Ralph Doubell Australia","Wilson Kiprugut Kenya","Tom Farrell United States","800 metres","men","1968","Mexico City","Running","Ralph Doubell ","Wilson Kiprugut ","Tom Farrell ","Australia","Kenya","United States"
"1972 Munich","Dave Wottle United States","Yevhen Arzhanov Soviet Union","Mike Boit Kenya","800 metres","men","1972","Munich","Running","Dave Wottle ","Yevhen Arzhanov ","Mike Boit ","United States","Soviet Union","Kenya"
"1976 Montreal","Alberto Juantorena Cuba","Ivo Van Damme Belgium","Rick Wohlhuter United States","800 metres","men","1976","Montreal","Running","Alberto Juantorena ","Ivo Van Damme ","Rick Wohlhuter ","Cuba","Belgium","United States"
"1980 Moscow","Steve Ovett Great Britain","Sebastian Coe Great Britain","Nikolay Kirov Soviet Union","800 metres","men","1980","Moscow","Running","Steve Ovett ","Sebastian Coe ","Nikolay Kirov ","Great Britain","Great Britain","Soviet Union"
"1984 Los Angeles","Joaquim Cruz Brazil","Sebastian Coe Great Britain","Earl Jones United States","800 metres","men","1984","Los Angeles","Running","Joaquim Cruz ","Sebastian Coe ","Earl Jones ","Brazil","Great Britain","United States"
"1988 Seoul","Paul Ereng Kenya","Joaquim Cruz Brazil","Saïd Aouita Morocco","800 metres","men","1988","Seoul","Running","Paul Ereng ","Joaquim Cruz ","Saïd Aouita ","Kenya","Brazil","Morocco"
"1992 Barcelona","William Tanui Kenya","Nixon Kiprotich Kenya","Johnny Gray United States","800 metres","men","1992","Barcelona","Running","William Tanui ","Nixon Kiprotich ","Johnny Gray ","Kenya","Kenya","United States"
"1996 Atlanta","Vebjørn Rodal Norway","Hezekiél Sepeng South Africa","Frederick Onyancha Kenya","800 metres","men","1996","Atlanta","Running","Vebjørn Rodal ","Hezekiél Sepeng ","Frederick Onyancha ","Norway","South Africa","Kenya"
"2000 Sydney","Nils Schumann Germany","Wilson Kipketer Denmark","Djabir Saïd-Guerni Algeria","800 metres","men","2000","Sydney","Running","Nils Schumann ","Wilson Kipketer ","Djabir Saïd-Guerni ","Germany","Denmark","Algeria"
"2004 Athens","Yuriy Borzakovskiy Russia","Mbulaeni Mulaudzi South Africa","Wilson Kipketer Denmark","800 metres","men","2004","Athens","Running","Yuriy Borzakovskiy ","Mbulaeni Mulaudzi ","Wilson Kipketer ","Russia","South Africa","Denmark"
"2008 Beijing","Wilfred Bungei Kenya","Ismail Ahmed Ismail Sudan","Alfred Kirwa Yego Kenya","800 metres","men","2008","Beijing","Running","Wilfred Bungei ","Ismail Ahmed Ismail ","Alfred Kirwa Yego ","Kenya","Sudan","Kenya"
"2012 London","David Rudisha Kenya","Nijel Amos Botswana","Timothy Kitum Kenya","800 metres","men","2012","London","Running","David Rudisha ","Nijel Amos ","Timothy Kitum ","Kenya","Botswana","Kenya"
"2016 Rio","David Rudisha Kenya","Taoufik Makhloufi Algeria","Clayton Murphy United States","800 metres","men","2016","Rio","Running","David Rudisha ","Taoufik Makhloufi ","Clayton Murphy ","Kenya","Algeria","United States"
"1896 Athens","Edwin Flack Australia","Arthur Blake United States","Albin Lermusiaux France","1500 metres","men","1896","Athens","Running","Edwin Flack ","Arthur Blake ","Albin Lermusiaux ","Australia","United States","France"
"1900 Paris","Charles Bennett Great Britain","Henri Deloge France","John Bray United States","1500 metres","men","1900","Paris","Running","Charles Bennett ","Henri Deloge ","John Bray ","Great Britain","France","United States"
"1904 St. Louis","Jim Lightbody United States","Frank Verner United States","Lacey Hearn United States","1500 metres","men","1904","St. Louis","Running","Jim Lightbody ","Frank Verner ","Lacey Hearn ","United States","United States","United States"
"1908 London","Mel Sheppard United States","Harold Wilson Great Britain","Norman Hallows Great Britain","1500 metres","men","1908","London","Running","Mel Sheppard ","Harold Wilson ","Norman Hallows ","United States","Great Britain","Great Britain"
"1912 Stockholm","Arnold Jackson Great Britain","Abel Kiviat United States","Norman Taber United States","1500 metres","men","1912","Stockholm","Running","Arnold Jackson ","Abel Kiviat ","Norman Taber ","Great Britain","United States","United States"
"1920 Antwerp","Albert Hill Great Britain","Philip Baker Great Britain","Lawrence Shields United States","1500 metres","men","1920","Antwerp","Running","Albert Hill ","Philip Baker ","Lawrence Shields ","Great Britain","Great Britain","United States"
"1924 Paris","Paavo Nurmi Finland","Willy Schärer Switzerland","H. B. Stallard Great Britain","1500 metres","men","1924","Paris","Running","Paavo Nurmi ","Willy Schärer ","H. B. Stallard ","Finland","Switzerland","Great Britain"
"1928 Amsterdam","Harri Larva Finland","Jules Ladoumègue France","Eino Purje Finland","1500 metres","men","1928","Amsterdam","Running","Harri Larva ","Jules Ladoumègue ","Eino Purje ","Finland","France","Finland"
