"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
2012,27,362,29,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"4 × 400 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"4 × 100 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"Weight throw","Throwing","1904 St. Louis","Étienne Desmarteau Canada","John Flanagan United States","James Mitchell United States","men","St. Louis","Étienne Desmarteau ","John Flanagan ","James Mitchell ","Canada","United States","United States"
1904,3,362,5,0.0125,"Triple jump","Jumping","1904 St. Louis","Myer Prinstein United States","Fred Englehardt United States","Robert Stangland United States","men","St. Louis","Myer Prinstein ","Fred Englehardt ","Robert Stangland ","United States","United States","United States"
1908,4,1,5,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"Standing long jump","Jumping","1912 Stockholm","Konstantinos Tsiklitiras Greece","Platt Adams United States","Benjamin Adams United States","men","Stockholm","Konstantinos Tsiklitiras ","Platt Adams ","Benjamin Adams ","Greece","United States","United States"
1912,5,362,7,0.0125,"Standing high jump","Jumping","1912 Stockholm","Platt Adams United States","Benjamin Adams United States","Konstantinos Tsiklitiras Greece","men","Stockholm","Platt Adams ","Benjamin Adams ","Konstantinos Tsiklitiras ","United States","United States","Greece"
1920,6,1,7,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"Shot put","Throwing","1920 Antwerp","Ville Pörhölä Finland","Elmer Niklander Finland","Harry Liversedge United States","men","Antwerp","Ville Pörhölä ","Elmer Niklander ","Harry Liversedge ","Finland","Finland","United States"
1924,7,1,8,0.0125,"Pole vault","Jumping","1924 Paris","Lee Barnes United States","Glen Graham United States","James Brooker United States","men","Paris","Lee Barnes ","Glen Graham ","James Brooker ","United States","United States","United States"
1924,7,362,9,0.0125,"Pentathlon","Multisport","1924 Paris","Eero Lehtonen Finland","Elemér Somfay Hungary","Robert LeGendre United States","men","Paris","Eero Lehtonen ","Elemér Somfay ","Robert LeGendre ","Finland","Hungary","United States"
1928,8,1,9,0.0125,"Marathon","Running","1928 Amsterdam","Boughera El Ouafi France","Manuel Plaza Chile","Martti Marttelin Finland","men","Amsterdam","Boughera El Ouafi ","Manuel Plaza ","Martti Marttelin ","France","Chile","Finland"
1928,8,362,10,0.0125,"Long jump","Jumping","1928 Amsterdam","Ed Hamm United States","Silvio Cator Haiti","Al Bates United States","men","Amsterdam","Ed Hamm ","Silvio Cator ","Al Bates ","United States","Haiti","United States"
1932,9,1,10,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"Javelin throw","Throwing","1936 Berlin","Tilly Fleischer Germany","Luise Krüger Germany","Maria Kwasniewska Poland","women","Berlin","Tilly Fleischer ","Luise Krüger ","Maria Kwasniewska ","Germany","Germany","Poland"
1936,10,1,11,0.0125,"Javelin throw","Throwing","1936 Berlin","Gerhard Stöck Germany","Yrjö Nikkanen Finland","Kalervo Toivonen Finland","men","Berlin","Gerhard Stöck ","Yrjö Nikkanen ","Kalervo Toivonen ","Germany","Finland","Finland"
1936,10,362,12,0.0125,"High jump","Jumping","1936 Berlin","Ibolya Csák Hungary","Dorothy Odam Great Britain","Elfriede Kaun Germany","women","Berlin","Ibolya Csák ","Dorothy Odam ","Elfriede Kaun ","Hungary","Great Britain","Germany"
1936,10,362,12,0.0125,"High jump","Jumping","1936 Berlin","Cornelius Johnson United States","Dave Albritton United States","Delos Thurber United States","men","Berlin","Cornelius Johnson ","Dave Albritton ","Delos Thurber ","United States","United States","United States"
1948,11,1,12,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"Hammer throw","Throwing","1948 London","Imre Németh Hungary","Ivan Gubijan Yugoslavia","Robert Bennett United States","men","London","Imre Németh ","Ivan Gubijan Yugoslavia","Robert Bennett ","Hungary",NA,"United States"
1952,12,1,13,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"Discus throw","Throwing","1956 Melbourne","Olga Fikotová Czechoslovakia","Irina Beglyakova Soviet Union","Nina Romashkova Soviet Union","women","Melbourne","Olga Fikotová ","Irina Beglyakova ","Nina Romashkova ","Czechoslovakia","Soviet Union","Soviet Union"
1956,13,1,14,0.0125,"Discus throw","Throwing","1956 Melbourne","Al Oerter United States","Fortune Gordien United States","Des Koch United States","men","Melbourne","Al Oerter ","Fortune Gordien ","Des Koch ","United States","United States","United States"
1956,13,362,15,0.0125,"Decathlon","Multisport","1956 Melbourne","Milt Campbell United States","Rafer Johnson United States","Vasili Kuznetsov Soviet Union","men","Melbourne","Milt Campbell ","Rafer Johnson ","Vasili Kuznetsov ","United States","United States","Soviet Union"
1960,14,1,15,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"5000 metres","Running","1964 Tokyo","Bob Schul United States","Harald Norpoth United Team of Germany","Bill Dellinger United States","men","Tokyo","Bob Schul ","Harald Norpoth ","Bill Dellinger ","United States","United Team of Germany","United States"
1968,16,1,17,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"3000 metres steeplechase","Running","1976 Montreal","Anders Gärderud Sweden","Bronislaw Malinowski Poland","Frank Baumgartl East Germany","men","Montreal","Anders Gärderud ","Bronislaw nowski ","Frank Baumgartl ","Sweden","Mali","East Germany"
1980,19,1,20,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"1500 metres","Running","1988 Seoul","Paula Ivan Romania","Laimute Baikauskaite Soviet Union","Tetyana Samolenko Soviet Union","women","Seoul","Paula Ivan ","Laimute Baikauskaite ","Tetyana Samolenko ","Romania","Soviet Union","Soviet Union"
1988,21,1,22,0.0125,"1500 metres","Running","1988 Seoul","Peter Rono Kenya","Peter Elliott Great Britain","Jens-Peter Herold East Germany","men","Seoul","Peter Rono ","Peter Elliott ","Jens-Peter Herold ","Kenya","Great Britain","East Germany"
1988,21,362,23,0.0125,"800 metres","Running","1988 Seoul","Sigrun Wodars East Germany","Christine Wachtel East Germany","Kim Gallagher United States","women","Seoul","Sigrun Wodars ","Christine Wachtel ","Kim Gallagher ","East Germany","East Germany","United States"
1988,21,362,23,0.0125,"800 metres","Running","1988 Seoul","Paul Ereng Kenya","Joaquim Cruz Brazil","Saïd Aouita Morocco","men","Seoul","Paul Ereng ","Joaquim Cruz ","Saïd Aouita ","Kenya","Brazil","Morocco"
1992,22,1,23,0.0125,"400 metres hurdles","Running","1992 Barcelona","Sally Gunnell Great Britain","Sandra Farmer-Patrick United States","Janeene Vickers United States","women","Barcelona","Sally Gunnell ","Sandra Farmer-Patrick ","Janeene Vickers ","Great Britain","United States","United States"
1992,22,1,23,0.0125,"400 metres hurdles","Running","1992 Barcelona","Kevin Young United States","Winthrop Graham Jamaica","Kriss Akabusi Great Britain","men","Barcelona","Kevin Young ","Winthrop Graham ","Kriss Akabusi ","United States","Jamaica","Great Britain"
1992,22,362,24,0.0125,"400 metres","Running","1992 Barcelona","Marie-José Pérec France","Olga Bryzgina Unified Team","Ximena Restrepo Colombia","women","Barcelona","Marie-José Pérec ","Olga Bryzgina ","Ximena Restrepo ","France","Unified Team","Colombia"
1992,22,362,24,0.0125,"400 metres","Running","1992 Barcelona","Quincy Watts United States","Steve Lewis United States","Samson Kitur Kenya","men","Barcelona","Quincy Watts ","Steve Lewis ","Samson Kitur ","United States","United States","Kenya"
1996,23,1,24,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"200 metres","Running","1996 Atlanta","Marie-José Pérec France","Merlene Ottey Jamaica","Mary Onyali Nigeria","women","Atlanta","Marie-José Pérec ","Merlene Ottey ","Mary Onyali ","France","Jamaica","Niger"
1996,23,362,25,0.0125,"200 metres","Running","1996 Atlanta","Michael Johnson United States","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","men","Atlanta","Michael Johnson ","Frankie Fredericks ","Ato Boldon ","United States","Namibia","Trinidad and Tobago"
2000,24,1,25,0.0125,"110 metres hurdles","Running","2000 Sydney","Anier García Cuba","Terrence Trammell United States","Mark Crear United States","men","Sydney","Anier García ","Terrence Trammell ","Mark Crear ","Cuba","United States","United States"
2000,24,362,26,0.0125,"100 metres hurdles","Running","2000 Sydney","Olga Shishigina Kazakhstan","Glory Alozie Nigeria","Melissa Morrison United States","women","Sydney","Olga Shishigina ","Glory Alozie ","Melissa Morrison ","Kazakhstan","Niger","United States"
2004,25,1,26,0.0125,"100 metres","Running","2004 Athens","Yulia Nestsiarenka Belarus","Lauryn Williams United States","Veronica Campbell Jamaica","women","Athens","Yulia Nestsiarenka ","Lauryn Williams ","Veronica Campbell ","Belarus","United States","Jamaica"
2004,25,1,26,0.0125,"100 metres","Running","2004 Athens","Justin Gatlin United States","Francis Obikwelu Portugal","Maurice Greene United States","men","Athens","Justin Gatlin ","Francis Obikwelu ","Maurice Greene ","United States","Portugal","United States"
2004,25,362,27,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,1,27,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"50 kilometres race walk","Walking","2008 Beijing","Alex Schwazer Italy","Jared Tallent Australia","Denis Nizhegorodov Russia","men","Beijing","Alex Schwazer ","Jared Tallent ","Denis Nizhegorodov ","Italy","Australia","Russia"
2012,27,1,28,0.0125,"20 kilometres race walk","Walking","2012 London","Elena Lashmanova Russia","Olga Kaniskina Russia","Qieyang Shenjie China","women","London","Elena Lashmanova ","Olga Kaniskina ","Qieyang Shenjie ","Russia","Russia","China"
2012,27,1,28,0.0125,"20 kilometres race walk","Walking","2012 London","Chen Ding China","Erick Barrondo Guatemala","Wang Zhen China","men","London","Chen Ding ","Erick Barrondo ","Wang Zhen ","China","Guatemala","China"
2012,27,362,29,0.0125,"10,000 metres","Running","2012 London","Tirunesh Dibaba Ethiopia","Sally Kipyego Kenya","Vivian Cheruiyot Kenya","women","London","Tirunesh Dibaba ","Sally Kipyego ","Vivian Cheruiyot ","Ethiopia","Kenya","Kenya"
2012,27,362,29,0.0125,"10,000 metres","Running","2012 London","Mo Farah Great Britain","Galen Rupp United States","Tariku Bekele Ethiopia","men","London","Mo Farah ","Galen Rupp ","Tariku Bekele ","Great Britain","United States","Ethiopia"
2016,28,1,29,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"4 × 400 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"4 × 100 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"Triple jump","Jumping","1908 London","Tim Ahearne Great Britain","Garfield MacDonald Canada","Edvard Larsen Norway","men","London","Tim Ahearne ","Garfield MacDonald ","Edvard Larsen ","Great Britain","Canada","Norway"
1912,5,1,6,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,1,8,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"Shot put","Throwing","1924 Paris","Bud Houser United States","Glenn Hartranft United States","Ralph Hills United States","men","Paris","Bud Houser ","Glenn Hartranft ","Ralph Hills ","United States","United States","United States"
1928,8,1,9,0.0125,"Pole vault","Jumping","1928 Amsterdam","Sabin Carr United States","William Droegemueller United States","Charles McGinnis United States","men","Amsterdam","Sabin Carr ","William Droegemueller ","Charles McGinnis ","United States","United States","United States"
1928,8,362,10,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"Marathon","Running","1932 Los Angeles","Juan Carlos Zabala Argentina","Sam Ferris Great Britain","Armas Toivonen Finland","men","Los Angeles","Juan Carlos Zabala ","Sam Ferris ","Armas Toivonen ","Argentina","Great Britain","Finland"
1932,9,362,11,0.0125,"Long jump","Jumping","1932 Los Angeles","Ed Gordon United States","Lambert Redd United States","Chuhei Nambu Japan","men","Los Angeles","Ed Gordon ","Lambert Redd ","Chuhei Nambu ","United States","United States","Japan"
1936,10,1,11,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"Javelin throw","Throwing","1948 London","Herma Bauma Austria","Kaisa Parviainen Finland","Lily Carlstedt Denmark","women","London","Herma Bauma ","Kaisa Parviainen ","Lily Carlstedt ","Austria","Finland","Denmark"
1948,11,1,12,0.0125,"Javelin throw","Throwing","1948 London","Tapio Rautavaara Finland","Steve Seymour United States","József Várszegi Hungary","men","London","Tapio Rautavaara ","Steve Seymour ","József Várszegi ","Finland","United States","Hungary"
1948,11,362,13,0.0125,"High jump","Jumping","1948 London","Alice Coachman United States","Dorothy Tyler Great Britain","Micheline Ostermeyer France","women","London","Alice Coachman ","Dorothy Tyler ","Micheline Ostermeyer ","United States","Great Britain","France"
1948,11,362,13,0.0125,"High jump","Jumping","1948 London","John Winter Australia","Bjørn Paulson Norway","George Stanich United States","men","London","John Winter ","Bjørn Paulson ","George Stanich ","Australia","Norway","United States"
1952,12,1,13,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"Hammer throw","Throwing","1952 Helsinki","József Csermák Hungary","Karl Storch Germany","Imre Németh Hungary","men","Helsinki","József Csermák ","Karl Storch ","Imre Németh ","Hungary","Germany","Hungary"
1956,13,1,14,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"Discus throw","Throwing","1960 Rome","Nina Romashkova Soviet Union","Tamara Press Soviet Union","Lia Manoliu Romania","women","Rome","Nina Romashkova ","Tamara Press ","Lia Manoliu ","Soviet Union","Soviet Union","Romania"
1960,14,1,15,0.0125,"Discus throw","Throwing","1960 Rome","Al Oerter United States","Rink Babka United States","Dick Cochran United States","men","Rome","Al Oerter ","Rink Babka ","Dick Cochran ","United States","United States","United States"
1960,14,362,16,0.0125,"Decathlon","Multisport","1960 Rome","Rafer Johnson United States","Yang Chuan-kwang Republic of China","Vasili Kuznetsov Soviet Union","men","Rome","Rafer Johnson ","Yang Chuan-kwang Republic of ","Vasili Kuznetsov ","United States","China","Soviet Union"
1964,15,1,16,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,1,17,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"5000 metres","Running","1968 Mexico City","Mohammed Gammoudi Tunisia","Kipchoge Keino Kenya","Naftali Temu Kenya","men","Mexico City","Mohammed Gammoudi ","Kipchoge Keino ","Naftali Temu ","Tunisia","Kenya","Kenya"
1972,17,1,18,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
